in s,C1 in V,C2 in V
-1.2000E-05,1.373225E+00,-2.32623E-02
-1.1990E-05,1.366306E+00,-2.98236E-02
-1.1981E-05,1.343738E+00,-2.41779E-02
-1.1971E-05,1.340114E+00,-3.54694E-02
-1.1962E-05,1.332462E+00,-2.00580E-02
-1.1952E-05,1.307697E+00,-3.47064E-02
-1.1942E-05,1.301341E+00,-2.49408E-02
-1.1933E-05,1.280978E+00,-1.76166E-02
-1.1923E-05,1.282893E+00,-2.08209E-02
-1.1914E-05,1.268108E+00,-3.05865E-02
-1.1904E-05,1.250713E+00,-2.66193E-02
-1.1894E-05,1.245258E+00,-3.30280E-02
-1.1885E-05,1.243671E+00,-1.51752E-02
-1.1875E-05,1.235194E+00,-2.90607E-02
-1.1866E-05,1.232997E+00,-3.05865E-02
-1.1856E-05,1.235927E+00,-3.05865E-02
-1.1846E-05,1.232143E+00,-2.90607E-02
-1.1837E-05,1.241756E+00,-3.22650E-02
-1.1827E-05,1.235767E+00,-2.00580E-02
-1.1818E-05,1.242931E+00,-1.83795E-02
-1.1808E-05,1.249004E+00,-1.76166E-02
-1.1798E-05,1.242320E+00,-2.41779E-02
-1.1789E-05,1.251773E+00,-3.39435E-02
-1.1779E-05,1.252834E+00,-2.00580E-02
-1.1770E-05,1.263179E+00,-2.90607E-02
-1.1760E-05,1.281871E+00,-2.98236E-02
-1.1750E-05,1.274417E+00,-2.24994E-02
-1.1741E-05,1.289081E+00,-1.76166E-02
-1.1731E-05,1.305247E+00,-3.22650E-02
-1.1722E-05,1.301303E+00,-3.80634E-02
-1.1712E-05,1.310222E+00,-3.30280E-02
-1.1702E-05,1.322848E+00,-2.66193E-02
-1.1693E-05,1.323779E+00,-1.44122E-02
-1.1683E-05,1.356288E+00,-2.73822E-02
-1.1674E-05,1.339381E+00,-2.57037E-02
-1.1664E-05,1.357669E+00,-2.24994E-02
-1.1654E-05,1.370784E+00,-2.98236E-02
-1.1645E-05,1.366145E+00,-1.68536E-02
-1.1635E-05,1.379214E+00,-2.41779E-02
-1.1626E-05,1.391475E+00,-1.83795E-02
-1.1616E-05,1.379176E+00,-1.76166E-02
-1.1606E-05,1.396854E+00,-2.66193E-02
-1.1597E-05,1.401782E+00,-2.00580E-02
-1.1587E-05,1.401248E+00,-1.44122E-02
-1.1578E-05,1.397586E+00,-2.32623E-02
-1.1568E-05,1.402469E+00,-1.10553E-02
-1.1558E-05,1.401904E+00,-2.49408E-02
-1.1549E-05,1.388377E+00,-1.59381E-02
-1.1539E-05,1.391025E+00,-2.73822E-02
-1.1530E-05,1.377505E+00,-2.49408E-02
-1.1520E-05,1.373965E+00,-2.24994E-02
-1.1510E-05,1.353885E+00,-1.02924E-02
-1.1501E-05,1.348506E+00,-1.83795E-02
-1.1491E-05,1.335673E+00,-2.90607E-02
-1.1482E-05,1.311649E+00,-4.64661E-03
-1.1472E-05,1.316447E+00,-2.57037E-02
-1.1462E-05,1.306842E+00,-3.39435E-02
-1.1453E-05,1.277843E+00,-1.59381E-02
-1.1443E-05,1.287570E+00,-3.05865E-02
-1.1434E-05,1.273074E+00,-2.73822E-02
-1.1424E-05,1.257396E+00,-3.05865E-02
-1.1414E-05,1.254092E+00,-2.41779E-02
-1.1405E-05,1.254947E+00,-2.32623E-02
-1.1395E-05,1.238048E+00,-3.22650E-02
-1.1386E-05,1.239551E+00,-3.22650E-02
-1.1376E-05,1.238086E+00,-2.57037E-02
-1.1366E-05,1.225703E+00,-2.17365E-02
-1.1357E-05,1.237437E+00,-2.08209E-02
-1.1347E-05,1.232143E+00,-3.71478E-02
-1.1338E-05,1.234134E+00,-3.05865E-02
-1.1328E-05,1.238620E+00,-2.49408E-02
-1.1318E-05,1.246883E+00,-2.41779E-02
-1.1309E-05,1.242122E+00,-1.76166E-02
-1.1299E-05,1.243014E+00,-2.00580E-02
-1.1290E-05,1.258449E+00,-2.41779E-02
-1.1280E-05,1.254260E+00,-1.59381E-02
-1.1270E-05,1.262691E+00,-2.81451E-02
-1.1261E-05,1.276004E+00,-3.47064E-02
-1.1251E-05,1.266841E+00,-2.41779E-02
-1.1242E-05,1.278613E+00,-1.83795E-02
-1.1232E-05,1.289935E+00,-2.98236E-02
-1.1222E-05,1.275027E+00,-3.05865E-02
-1.1213E-05,1.285419E+00,-1.59381E-02
-1.1203E-05,1.302402E+00,-2.32623E-02
-1.1194E-05,1.292911E+00,-2.17365E-02
-1.1184E-05,1.303012E+00,-3.22650E-02
-1.1174E-05,1.308795E+00,-1.51752E-02
-1.1165E-05,1.308261E+00,-1.68536E-02
-1.1155E-05,1.303661E+00,-2.57037E-02
-1.1146E-05,1.309077E+00,-1.59381E-02
-1.1136E-05,1.324313E+00,-2.49408E-02
-1.1126E-05,1.310908E+00,-3.05865E-02
-1.1117E-05,1.345287E+00,-2.49408E-02
-1.1107E-05,1.338931E+00,-2.81451E-02
-1.1098E-05,1.332584E+00,-2.00580E-02
-1.1088E-05,1.360599E+00,-3.22650E-02
-1.1078E-05,1.351070E+00,-1.83795E-02
-1.1069E-05,1.361461E+00,-2.57037E-02
-1.1059E-05,1.364597E+00,-2.57037E-02
-1.1050E-05,1.366832E+00,-2.00580E-02
-1.1040E-05,1.372089E+00,-2.41779E-02
-1.1030E-05,1.369723E+00,-1.92950E-02
-1.1021E-05,1.368793E+00,-2.57037E-02
-1.1011E-05,1.383693E+00,-2.49408E-02
-1.1002E-05,1.374004E+00,-2.08209E-02
-1.0992E-05,1.380519E+00,-2.57037E-02
-1.0982E-05,1.380847E+00,-3.15021E-02
-1.0973E-05,1.383166E+00,-2.81451E-02
-1.0963E-05,1.393672E+00,-2.49408E-02
